epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.5329,1.05094,0.83808,1.24259,0.79758,0.65184,0.69096,0.44809,1.04423,0.90839,1.2641,0.0669959,9.93103e-05,9.93103e-05
2,153.127,0.99406,0.77245,1.21613,0.77047,0.67706,0.69521,0.4475,0.97427,0.81757,1.19023,0.0337623,0.000199116,0.000199116
3,226.722,1.01299,0.77005,1.21902,0.78861,0.67451,0.70197,0.4692,0.99616,0.82277,1.20924,0.000528027,0.000298142,0.000298142
4,300.393,1.03464,0.80693,1.2392,0.77877,0.69596,0.72008,0.47013,1.04315,0.82796,1.24682,0.00029737,0.00029737,0.00029737
5,374.735,1.00362,0.77853,1.21894,0.73324,0.68949,0.70135,0.46724,1.01994,0.88013,1.22481,0.000295335,0.000295335,0.000295335
6,448.261,1.02776,0.79982,1.23929,0.77275,0.68665,0.71085,0.47516,0.9854,0.78581,1.20076,0.000292732,0.000292732,0.000292732
7,521.847,1.04448,0.77703,1.23726,0.79195,0.67742,0.7164,0.47128,0.96782,0.77051,1.18211,0.000289572,0.000289572,0.000289572
8,595.171,1.0289,0.7882,1.24067,0.7914,0.66114,0.68377,0.45835,0.98209,0.8726,1.20932,0.000285867,0.000285867,0.000285867
9,668.223,1.01727,0.78094,1.22606,0.76793,0.69393,0.70425,0.46057,0.98349,0.90265,1.21773,0.000281632,0.000281632,0.000281632
10,741.331,0.99906,0.73378,1.20745,0.81935,0.67904,0.7172,0.48822,0.98275,0.76712,1.20862,0.000276883,0.000276883,0.000276883
11,814.443,0.99517,0.76743,1.22002,0.80038,0.69296,0.71742,0.4764,0.98655,0.78582,1.20244,0.000271639,0.000271639,0.000271639
12,887.595,1.0117,0.7597,1.22184,0.79312,0.6921,0.71083,0.4766,0.95821,0.76545,1.18297,0.000265921,0.000265921,0.000265921
13,960.407,0.97471,0.72305,1.19109,0.79528,0.68488,0.70767,0.47821,0.9683,0.74038,1.18193,0.000259752,0.000259752,0.000259752
14,1033.54,0.9824,0.71413,1.20037,0.80714,0.70058,0.72185,0.49568,0.91752,0.71663,1.15503,0.000253155,0.000253155,0.000253155
15,1106.84,0.97902,0.72079,1.19042,0.81368,0.71286,0.73338,0.48994,0.95811,0.74283,1.16383,0.000246157,0.000246157,0.000246157
16,1179.44,0.99141,0.70491,1.20886,0.82076,0.68798,0.73436,0.49734,0.96943,0.76044,1.19326,0.000238786,0.000238786,0.000238786
17,1252.54,0.9436,0.68925,1.18311,0.77976,0.74409,0.73974,0.50661,0.92139,0.74048,1.15003,0.00023107,0.00023107,0.00023107
18,1325.76,0.95851,0.6854,1.1854,0.79634,0.7211,0.74532,0.5003,0.95151,0.72043,1.1609,0.00022304,0.00022304,0.00022304
19,1398.45,0.93442,0.6876,1.17967,0.7968,0.69905,0.73414,0.49205,0.92249,0.71326,1.14193,0.000214728,0.000214728,0.000214728
20,1471.25,0.94448,0.67806,1.17958,0.80259,0.70853,0.74667,0.50368,0.91956,0.75942,1.13582,0.000206166,0.000206166,0.000206166
21,1544.14,0.92666,0.67027,1.16404,0.79153,0.71897,0.73349,0.49452,0.92699,0.74206,1.16404,0.000197389,0.000197389,0.000197389
22,1617.32,0.91596,0.64415,1.15913,0.81395,0.71091,0.73403,0.49964,0.90647,0.69825,1.13732,0.00018843,0.00018843,0.00018843
23,1689.96,0.90043,0.64238,1.16886,0.79098,0.70083,0.7351,0.49461,0.88844,0.73322,1.13075,0.000179326,0.000179326,0.000179326
24,1762.73,0.91343,0.64594,1.17579,0.76819,0.72653,0.73888,0.50819,0.89878,0.71603,1.12776,0.000170112,0.000170112,0.000170112
25,1835.79,0.90343,0.63952,1.16348,0.83121,0.71477,0.7536,0.5143,0.88592,0.69497,1.11632,0.000160824,0.000160824,0.000160824
26,1908.76,0.87582,0.62107,1.14654,0.84286,0.70079,0.74672,0.51376,0.88527,0.67161,1.10843,0.0001515,0.0001515,0.0001515
27,1981.8,0.87502,0.6208,1.1483,0.8317,0.71781,0.74727,0.5207,0.87227,0.67268,1.10343,0.000142176,0.000142176,0.000142176
28,2055.14,0.87863,0.61882,1.14838,0.82291,0.73062,0.7573,0.52415,0.85978,0.66708,1.09127,0.000132888,0.000132888,0.000132888
29,2128.43,0.87408,0.60849,1.13237,0.78821,0.73258,0.75884,0.51717,0.88778,0.69302,1.11161,0.000123674,0.000123674,0.000123674
30,2201.72,0.87255,0.60288,1.14314,0.80366,0.74149,0.76993,0.53651,0.86675,0.63168,1.10179,0.00011457,0.00011457,0.00011457
31,2275.26,0.87221,0.58444,1.13163,0.79916,0.73242,0.75326,0.52917,0.86918,0.63354,1.10241,0.000105611,0.000105611,0.000105611
32,2348.12,0.84137,0.57204,1.1196,0.81789,0.72906,0.77276,0.53672,0.86563,0.65421,1.09836,9.68335e-05,9.68335e-05,9.68335e-05
33,2421.26,0.8473,0.56281,1.11612,0.80231,0.75293,0.75977,0.52689,0.84912,0.62934,1.08578,8.82718e-05,8.82718e-05,8.82718e-05
34,2494.26,0.83938,0.58519,1.11843,0.82752,0.73332,0.7654,0.54186,0.83592,0.60404,1.0832,7.99596e-05,7.99596e-05,7.99596e-05
35,2567.14,0.84323,0.56865,1.12033,0.82725,0.7417,0.76955,0.54706,0.84449,0.59493,1.08535,7.19297e-05,7.19297e-05,7.19297e-05
36,2640.15,0.82454,0.55055,1.108,0.82828,0.72991,0.76716,0.54622,0.85261,0.60746,1.09411,6.42139e-05,6.42139e-05,6.42139e-05
37,2712.94,0.8215,0.55701,1.10972,0.8234,0.74314,0.76915,0.54697,0.82945,0.58149,1.07461,5.68425e-05,5.68425e-05,5.68425e-05
38,2785.99,0.81449,0.5533,1.10597,0.83806,0.73668,0.78009,0.55536,0.84289,0.59021,1.08405,4.98448e-05,4.98448e-05,4.98448e-05
39,2858.85,0.8091,0.54682,1.10752,0.79724,0.76098,0.77121,0.54804,0.84291,0.59713,1.08431,4.32482e-05,4.32482e-05,4.32482e-05
40,2931.51,0.81287,0.54203,1.10107,0.80281,0.76204,0.7795,0.55185,0.8358,0.599,1.08337,3.70788e-05,3.70788e-05,3.70788e-05
41,3018.19,0.7618,0.51843,1.08333,0.83983,0.73963,0.78434,0.5533,0.8388,0.59888,1.08656,3.1361e-05,3.1361e-05,3.1361e-05
42,3090.6,0.75118,0.48272,1.06134,0.80266,0.7615,0.78218,0.55363,0.83973,0.59462,1.08796,2.61173e-05,2.61173e-05,2.61173e-05
43,3163.09,0.75947,0.50064,1.06978,0.80405,0.75834,0.77477,0.55009,0.83306,0.60115,1.07903,2.13685e-05,2.13685e-05,2.13685e-05
44,3235.68,0.74098,0.48739,1.06854,0.82432,0.74539,0.77745,0.55338,0.83409,0.59036,1.08589,1.71332e-05,1.71332e-05,1.71332e-05
45,3308.06,0.7363,0.48017,1.06369,0.81575,0.75697,0.78108,0.55523,0.82742,0.58599,1.08169,1.34282e-05,1.34282e-05,1.34282e-05
46,3380.37,0.73629,0.47561,1.07112,0.81458,0.75613,0.78069,0.55615,0.82944,0.5902,1.08077,1.02681e-05,1.02681e-05,1.02681e-05
47,3453.1,0.72982,0.46518,1.07082,0.82019,0.75289,0.77993,0.55478,0.82575,0.59684,1.07707,7.6654e-06,7.6654e-06,7.6654e-06
48,3525.5,0.71949,0.47032,1.06074,0.81764,0.75835,0.77998,0.55526,0.81776,0.59418,1.07062,5.63034e-06,5.63034e-06,5.63034e-06
49,3597.78,0.72257,0.46931,1.06275,0.80188,0.76845,0.77939,0.55528,0.81868,0.58994,1.07176,4.17097e-06,4.17097e-06,4.17097e-06
