epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,3025.19,0.88986,0.6648,1.16809,0.83467,0.71733,0.75604,0.5202,0.91216,0.67674,1.13534,5.22683e-05,5.22683e-05,5.22683e-05
42,3097.89,0.87374,0.61902,1.14273,0.83321,0.71812,0.75273,0.51749,0.89562,0.69544,1.11892,4.35288e-05,4.35288e-05,4.35288e-05
43,3170.41,0.87693,0.6236,1.14881,0.80615,0.71198,0.7472,0.51919,0.8825,0.67568,1.11626,3.56141e-05,3.56141e-05,3.56141e-05
44,3242.5,0.86062,0.60899,1.14883,0.81366,0.71589,0.74947,0.52389,0.88383,0.65511,1.12459,2.85553e-05,2.85553e-05,2.85553e-05
45,3314.98,0.84586,0.60773,1.13834,0.82092,0.72295,0.75495,0.52542,0.8854,0.65018,1.12002,2.23803e-05,2.23803e-05,2.23803e-05
46,3387.78,0.84948,0.5766,1.14748,0.82591,0.71079,0.75548,0.52754,0.87109,0.63889,1.11101,1.71135e-05,1.71135e-05,1.71135e-05
47,3460.38,0.83559,0.56785,1.14054,0.82561,0.71063,0.75329,0.52823,0.8734,0.65037,1.11432,1.27757e-05,1.27757e-05,1.27757e-05
48,3532.97,0.82351,0.57052,1.13331,0.80839,0.73339,0.7582,0.53215,0.86805,0.6414,1.10921,9.38391e-06,9.38391e-06,9.38391e-06
49,3605.93,0.82564,0.5751,1.1332,0.81292,0.7384,0.76162,0.53333,0.87141,0.64334,1.11226,6.95161e-06,6.95161e-06,6.95161e-06
50,3678.42,0.82902,0.55853,1.12262,0.80829,0.7326,0.75724,0.53018,0.87116,0.63671,1.11285,5.48838e-06,5.48838e-06,5.48838e-06
